EmpCode,ContractType,EmployeeType,Unit,WorkPlace,DateStart,DateEnd,,,,
A060024,002,201,A1220,A3037,2018-09-26,2018-10-11,,,,
A060030,013,201,A1120,10015,2022-06-29,2022-11-14,,,,
A060031,013,201,A1220,10031,2022-06-25,2022-10-31,,,,
A060032,013,201,A1350,10028,2022-07-12,2022-11-11,,,,
A060050,001,101,A2220,A2722,1999-09-01,2013-09-30,,,,
A060060,NULL,201,A1220,A001075,2012-04-24,2012-06-11,,,,
A060070,NULL,201,A1110,A2321,2012-07-06,2012-09-18,,,,
A060071,002,201,A1220,A001025,2015-05-25,2016-01-19,,,,
A060072,013,201,A1120,10015,2022-06-29,2022-11-14,,,,
A060100,NULL,,ALN,A001113,2009-03-09,2009-11-05,,,,
A060101,002,201,A3230,A001017,2021-06-29,2021-10-29,,,,
A060102,002,201,A3230,A001079,2021-06-28,2021-11-16,,,,
A060103,002,201,A1220,A3037,2021-07-12,2021-08-31,,,,
A070100,NULL,,ALN,A2321,2009-05-15,2009-06-30,,,,
A070200,,,ALN,A2321,2011-07-04,2011-09-16,,,,
A070300,001,101,A1220,A001073,2018-02-01,2019-07-12,,,,
A070301,002,201,A1110,A2321,2018-05-01,2018-05-19,,,,
A070302,002,201,A1350,A001113,2018-05-28,2018-12-06,,,,
A070303,006,401,A1110,A2321,2018-06-23,2018-07-02,,,,
A070304,006,401,A1110,A2321,2018-07-01,2018-08-31,,,,
A070305,005,801,A1220,A2613,2019-07-01,2019-07-31,,,,
A070306,002,201,ALN2121,A2321,2019-05-11,2020-01-08,,,,
A070307,002,201,A1220,A001020,2020-07-30,2020-07-30,,,,
A070308,002,201,A2110,10027,2023-05-08,NULL,,,,
A090050,001,101,A1220,A2613,2020-01-01,2022-03-10,,,,
A090051,002,201,A1220,A2613,2017-07-19,2017-08-31,,,,
A090060,013,201,A0700,10025,2022-04-19,2022-06-30,,,,
A090065,005,601,A1220,A2332,2013-06-15,2013-09-15,,,,
A090070,NULL,,ALN,A2321,2009-06-09,2009-09-05,,,,
A090080,,,ALN,A2613,2011-07-09,2011-09-02,,,,
A099602,002,201,A2110,A001011,2018-05-29,2018-05-30,,,,
A100050,NULL,,ALN,A001113,2006-11-21,2007-09-30,,,,
A100136,013,201,A2120,10015,2023-05-11,NULL,,,,
A100137,013,201,A1220,10023,2023-05-15,NULL,,,,
A100138,013,201,A3230,10034,2023-05-15,NULL,,,,
A100139,013,201,A1220,10023,2023-05-15,NULL,,,,
A110100,002,201,A1220,A001025,2017-05-08,2017-09-21,,,,
A110150,002,201,A1120,A2363,2017-04-10,2018-01-29,,,,
A110151,013,201,A1120,10015,2023-04-18,NULL,,,,
A110152,013,201,A0700,10025,2023-04-18,NULL,,,,
A110153,013,201,A1120,10009,2023-04-24,2023-05-31,,,,
A110154,013,201,A1210,10046,2023-04-24,NULL,,,,
A110200,,,ALN,A2361,2007-05-24,2007-09-25,,,,
A110201,002,201,A1210,10050,2023-04-24,NULL,,,,
A110202,002,201,A1120,10015,2023-04-24,NULL,,,,
A110203,002,201,A0700,10025,2023-05-01,NULL,,,,
A110204,013,201,A1350,10037,2023-04-24,NULL,,,,
A110205,013,201,A1110,10027,2023-05-01,NULL,,,,
A110206,013,201,A0700,10025,2023-05-15,NULL,,,,
A110207,013,201,A1120,10015,2023-05-23,NULL,,,,
A110208,013,201,A2110,10027,2023-05-23,NULL,,,,
A110209,013,201,A1120,10015,2023-05-23,NULL,,,,
A110210,NULL,,ALN,A2221,2008-07-22,2008-08-27,,,,
A110220,,201,A1110,A2321,2012-06-16,2012-09-18,,,,
A110230,002,201,A1110,A2321,2014-06-05,2014-10-20,,,,
A110231,002,201,A1110,A001011,2014-06-25,2014-10-03,,,,
A110232,013,201,A0700,10025,2023-05-23,NULL,,,,
A110233,013,201,A1120,10015,2023-05-23,NULL,,,,
A110234,013,201,A1350,10037,2023-05-24,NULL,,,,
A110235,013,201,A1110,10073,2023-05-27,NULL,,,,
A110236,013,201,A0700,10051,2023-05-31,NULL,,,,
A110300,,,ALN,A001118,2008-03-13,2008-11-30,,,,
A110301,002,201,A1220,A2221,2015-06-15,2015-08-20,,,,
A110302,002,201,A1110,A2321,2015-06-26,2015-07-03,,,,
A110303,004,201,A0700,A001063,2015-07-01,2015-07-31,,,,
A110304,002,201,A2220,A001074,2018-05-01,2018-12-10,,,,
A110305,002,201,A1110,A2321,2017-05-01,2017-12-19,,,,
A110306,004,301,A1220,A2221,2017-07-06,2017-09-03,,,,
A110307,002,201,A3230,A001079,2021-06-10,2021-12-28,,,,
